,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
167,04013083000,123091.0,Tolleson Food Market,9102 W Taylor St,,Tolleson,AZ,85353.0,2310.0,MARICOPA,-112.25551999999999,33.452328,123092.0,40100000000000.0,Market,0.04811677594430118,29.0,1.0
168,04013083000,7569.0,Tolleson Market,9312 W Van Buren St,,Tolleson,AZ,85353.0,2803.0,MARICOPA,-112.26052,33.450359000000006,7570.0,40100000000000.0,Market,0.07475360572040547,29.0,1.0
169,04013092305,102044.0,Walmart Neighborhood Market 3845,6645 W Peoria Ave,,Glendale,AZ,85302.0,1011.0,MARICOPA,-112.20173999999999,33.581635,102045.0,40100000000000.0,GroceryStore,0.012574726837893362,16.0,1.0
170,04013092306,213488.0,FRY'S 26,5116 W Olive Ave,,Glendale,AZ,85302.0,4209.0,MARICOPA,-112.17034,33.567577,213489.0,40100000000000.0,GroceryStore,0.044615985173071936,15.0,1.0
171,04013092307,175415.0,Walmart Neighborhood Market 3844,5137 W Olive Ave,,Glendale,AZ,85302.0,,MARICOPA,-112.17003000000001,33.567467,175416.0,40100000000000.0,GroceryStore,0.0567409949860079,16.0,1.0
172,04013092308,23595.0,Roble's Meat Shop Carniceria,4360 W Olive Ave,,Glendale,AZ,85302.0,3826.0,MARICOPA,-112.15247,33.567593,23596.0,40100000000000.0,Market,0.004504339535906195,16.0,1.0
173,04013092308,106068.0,Target Store T-2341,10404 N 43rd Ave,,Glendale,AZ,85302.0,2019.0,MARICOPA,-112.15156999999999,33.58102,106069.0,40100000000000.0,GroceryStore,0.02687349684058495,16.0,1.0
174,04013092309,,,,,,,,,,,,,,,3.989204532391526,19.0,0.0
175,04013092311,,,,,,,,,,,,,,,3.989204532391526,5.0,0.0
176,04013092312,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
177,04013092401,75965.0,New Africa Supermarket Llc 4740,4734 W Glendale Ave,Ste 4740,Glendale,AZ,85301.0,2732.0,MARICOPA,-112.16153,33.538498,75966.0,40100000000000.0,Market,0.008578823157966039,11.0,1.0
178,04013092402,63345.0,FRY'S 136,4329 W Northern Ave,,Glendale,AZ,85301.0,1647.0,MARICOPA,-112.15337,33.553062,63346.0,40100000000000.0,GroceryStore,0.07405351849761548,12.0,1.0
179,04013092500,203904.0,Walmart Supercenter 5124,5605 W Northern Ave,,Glendale,AZ,85301.0,1332.0,MARICOPA,-112.18104,33.553055,203905.0,40100000000000.0,GroceryStore,0.015304827840968694,26.0,1.0
180,04013092600,,,,,,,,,,,,,,,3.989204532391526,20.0,0.0
181,04013092705,77028.0,Walmart SuperCenter 3314,7450 W Glendale Ave,,Glendale,AZ,85303.0,3000.0,MARICOPA,-112.21883999999999,33.538036,77029.0,40100000000000.0,GroceryStore,0.006254522087073007,8.0,1.0
182,04013092708,37323.0,Momma's Organic Market,9744 Northern,,Peoria,AZ,85345.0,,MARICOPA,-112.27063000000001,33.551483000000005,37324.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
183,04013092708,90594.0,Target Store T-1361,9350 W Northern Ave,,Glendale,AZ,85305.0,1103.0,MARICOPA,-112.26059,33.551716,90595.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
184,04013092709,116904.0,FRY'S 56,9043 W Olive Ave,,Peoria,AZ,85345.0,7049.0,MARICOPA,-112.25385,33.566257,116905.0,40100000000000.0,GroceryStore,0.9201856450409555,3.0,1.0
185,04013092710,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
186,04013092711,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
187,04013092712,,,,,,,,,,,,,,,3.989204532391526,11.0,0.0
188,04013092713,,,,,,,,,,,,,,,3.989204532391526,12.0,0.0
189,04013092715,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
190,04013092716,70481.0,Los Altos Ranch Market 4,6730 W Camelback Rd,,Glendale,AZ,85303.0,6307.0,MARICOPA,-112.20421,33.509361,70482.0,40100000000000.0,GroceryStore,0.032920633717015244,6.0,1.0
191,04013092717,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
