,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
947,04013618000,47832.0,L F Market,5350 W Bell Rd,Ste 115,Glendale,AZ,85308.0,3907.0,MARICOPA,-112.17461999999999,33.639053000000004,47833.0,40100000000000.0,Market,,,
948,04013618000,37010.0,WinCo Foods 109,5850 W Bell Rd,,Glendale,AZ,85308.0,3872.0,MARICOPA,-112.18542,33.638859000000004,37011.0,40100000000000.0,GroceryStore,,,
949,04013618100,,,,,,,,,,,,,,,,,
950,04013618200,,,,,,,,,,,,,,,,,
951,04013618300,,,,,,,,,,,,,,,,,
952,04013618400,,,,,,,,,,,,,,,,,
953,04013618500,212022.0,SAFEWAY  0240,3450 W Bell Rd,,Phoenix,AZ,85053.0,2926.0,MARICOPA,-112.13302,33.639709,212023.0,40100000000000.0,GroceryStore,,,
954,04013618600,212168.0,FRY'S 12,18420 N 19th Ave,,Phoenix,AZ,85023.0,1361.0,MARICOPA,-112.09983000000001,33.653904,212169.0,40100000000000.0,GroceryStore,,,
955,04013618700,238197.0,Babel Mediterranean Market,18425 N 19th Ave,Ste 124,Phoenix,AZ,85023.0,1386.0,MARICOPA,-112.09831000000001,33.653252,238198.0,40100000000000.0,Market,,,
956,04013618700,58178.0,Lotus Market,18425 N 19th Ave,Ste 110,Phoenix,AZ,85023.0,1386.0,MARICOPA,-112.09973000000001,33.65337,58179.0,40100000000000.0,Market,,,
957,04013618800,192239.0,Hajiabbas Market,1818 W Bell Rd,,Phoenix,AZ,85023.0,3426.0,MARICOPA,-112.09828999999999,33.640259,192240.0,40100000000000.0,Market,,,
958,04013618800,22448.0,Mercado Y Carniceria Sepulveda,1708 W Bell Rd,,Phoenix,AZ,85023.0,3414.0,MARICOPA,-112.09618,33.640259,22449.0,40100000000000.0,GroceryStore,,,
959,04013618900,211732.0,SAFEWAY  0413,550 E Bell Rd,,Phoenix,AZ,85022.0,2313.0,MARICOPA,-112.06716000000002,33.640434,211733.0,40100000000000.0,GroceryStore,,,
960,04013618900,37009.0,WinCo Foods 108,330 W Bell Rd,,Phoenix,AZ,85023.0,3503.0,MARICOPA,-112.07873000000001,33.640339000000004,37010.0,40100000000000.0,GroceryStore,,,
961,04013619000,28749.0,Bashas' 113,731 E Union Hills Dr,,Phoenix,AZ,85024.0,2900.0,MARICOPA,-112.06391,33.654823,28750.0,40100000000000.0,GroceryStore,,,
962,04013619100,,,,,,,,,,,,,,,,,
963,04013619200,,,,,,,,,,,,,,,,,
964,04013619300,,,,,,,,,,,,,,,,,
965,04013619400,,,,,,,,,,,,,,,,,
966,04013619500,155652.0,Albertsons 2985,18411 N CAVE CREEK ROAD,,PHOENIX,AZ,85032.0,1006.0,MARICOPA,-112.03083000000001,33.652962,155653.0,40100000000000.0,GroceryStore,,,
967,04013619600,68476.0,FRY'S 618,3246 E Bell Rd,,Phoenix,AZ,85032.0,2727.0,MARICOPA,-112.01221000000001,33.640739,68477.0,40100000000000.0,GroceryStore,,,
968,04013619700,,,,,,,,,,,,,,,,,
969,04013619800,,,,,,,,,,,,,,,,,
970,04013619900,69472.0,FRY'S 54,4842 E Bell Rd,,Scottsdale,AZ,85254.0,6005.0,MARICOPA,-111.97556999999999,33.640659,69473.0,40100000000000.0,GroceryStore,,,
971,04013723303,,,,,,,,,,,,,,,,,
972,04013723304,,,,,,,,,,,,,,,,,
973,04013723305,,,,,,,,,,,,,,,,,
974,04013723306,,,,,,,,,,,,,,,,,
975,04013723307,169736.0,Safeway 3151,9890 S Estrella Pkwy,,Goodyear,AZ,85338.0,2901.0,MARICOPA,-112.42728999999999,33.356297,169737.0,40100000000000.0,GroceryStore,,,
976,04013723308,,,,,,,,,,,,,,,,,
977,04013810000,,,,,,,,,,,,,,,,,
978,04013810100,64242.0,Bashas' 48,1761 E Warner Rd,,Tempe,AZ,85284.0,4558.0,MARICOPA,-111.9118,33.334579,64243.0,40100000000000.0,GroceryStore,,,
979,04013810100,59451.0,FRY'S 627,9900 S Rural Rd,,Tempe,AZ,85284.0,4116.0,MARICOPA,-111.92823,33.321419,59452.0,40100000000000.0,GroceryStore,,,
980,04013810200,,,,,,,,,,,,,,,,,
981,04013810300,,,,,,,,,,,,,,,,,
982,04013810400,70264.0,AJ's Fine Foods 87,7131 W Ray Rd,,Chandler,AZ,85226.0,1520.0,MARICOPA,-111.96555,33.319763,70265.0,40100000000000.0,Pricey,,,
983,04013810500,11336.0,Vtiamin Cottage Natural Food Market U116,5805 W Ray Rd,,Chandler,AZ,85226.0,1800.0,MARICOPA,-111.9417,33.319801,11337.0,40100000000000.0,Market,,,
984,04013810600,189272.0,Albertsons 2997,4060 W Ray Rd,,Chandler,AZ,85226.0,2103.0,MARICOPA,-111.91251000000001,33.320147999999996,189273.0,40100000000000.0,GroceryStore,,,
985,04013810700,2139.0,Walmart Supercenter 6480,3460 W Chandler Blvd,,Chandler,AZ,85226.0,5065.0,MARICOPA,-111.90125,33.305752000000005,2140.0,40100000000000.0,GroceryStore,,,
986,04013810800,100570.0,Whole Foods Market 10272,2955 W Ray Rd,,Chandler,AZ,85224.0,3499.0,MARICOPA,-111.89256,33.320209999999996,100571.0,40100000000000.0,Pricey,,,
987,04013810900,,,,,,,,,,,,,,,,,
988,04013811000,,,,,,,,,,,,,,,,,
989,04013811100,86620.0,Target Store T-1838,3425 W Frye Rd,,Chandler,AZ,85226.0,5008.0,MARICOPA,-111.90021000000002,33.297695000000004,86621.0,40100000000000.0,GroceryStore,,,
990,04013811200,,,,,,,,,,,,,,,,,
991,04013811300,28278.0,SAFEWAY  1605,1060 E Ray Rd,,Chandler,AZ,85225.0,1542.0,MARICOPA,-111.82346000000001,33.320827,28279.0,40100000000000.0,GroceryStore,,,
992,04013811400,97034.0,Walmart Neighborhood Market 4324,1900 E Chandler Blvd,,Chandler,AZ,85225.0,,MARICOPA,-111.80846000000001,33.306519,97035.0,40100000000000.0,GroceryStore,,,
993,04013811500,,,,,,,,,,,,,,,,,
994,04013811600,,,,,,,,,,,,,,,,,
995,04013811700,,,,,,,,,,,,,,,,,
996,04013811800,,,,,,,,,,,,,,,,,
